Time,House,School,Health_center,Mosque,Water_pump
20130629:2107,0.381,0.15,0.15,0.1,0.14
20130629:2207,0.238,0.15,0.15,0.1,0.14
20130629:2307,0.162,0.15,0.15,0.1,0.14
20130630:0007,0.087,0.15,0.15,0.1,0.14
20130630:0107,0.075,0.15,0.15,0.1,0.14
20130630:0207,0.075,0.15,0.15,0.1,0.14
20130630:0307,0.075,0.15,0.15,0.1,0.29
20130630:0407,0.259,0.15,0.15,0.85,0.43
20130630:0507,0.396,0.15,0.15,0.85,0.57
20130630:0607,0.436,0.15,0.46,0.5,0.71
20130630:0707,0.396,0.3,0.92,0.1,0.86
20130630:0807,0.332,0.3,0.92,0.1,1
20130630:0907,0.341,0.3,1,0.1,1
20130630:1007,0.392,0.3,1,0.1,1
20130630:1107,0.422,0.3,1,1,0.86
20130630:1207,0.547,0.3,1,1,0.71
20130630:1307,0.411,0.3,1,1,0.71
20130630:1407,0.331,0.3,1,0.5,0.86
20130630:1507,0.314,0.3,1,1,0.86
20130630:1607,0.324,0.3,0.85,1,1
20130630:1707,0.521,0.15,0.31,0.5,1
20130630:1807,0.975,0.15,0.15,1,0.71
20130630:1907,0.795,0.15,0.15,1,0.57
20130630:2007,0.536,0.15,0.15,0.1,0.29
20130630:2107,0.381,0.15,0.15,0.1,0.14
20130630:2207,0.238,0.15,0.15,0.1,0.14
20130630:2307,0.162,0.15,0.15,0.1,0.14
20130701:0007,0.089,0.15,0.15,0.1,0.14
20130701:0107,0.077,0.15,0.15,0.1,0.14
20130701:0207,0.077,0.15,0.15,0.1,0.14
20130701:0307,0.077,0.15,0.15,0.1,0.29
20130701:0407,0.265,0.15,0.15,0.85,0.43
20130701:0507,0.406,0.15,0.15,0.85,0.57
20130701:0607,0.447,0.15,0.46,0.5,0.71
20130701:0707,0.406,0.3,0.92,0.1,0.86
20130701:0807,0.341,0.3,0.92,0.1,1
20130701:0907,0.349,0.3,1,0.1,1
20130701:1007,0.402,0.3,1,0.1,1
20130701:1107,0.433,0.3,1,1,0.86
20130701:1207,0.561,0.3,1,1,0.71
20130701:1307,0.422,0.3,1,1,0.71
20130701:1407,0.34,0.3,1,0.5,0.86
20130701:1507,0.322,0.3,1,1,0.86
20130701:1607,0.332,0.3,0.85,1,1
20130701:1707,0.535,0.15,0.31,0.5,1
20130701:1807,1,0.15,0.15,1,0.71
20130701:1907,0.815,0.15,0.15,1,0.57
20130701:2007,0.549,0.15,0.15,0.1,0.29
20130701:2107,0.39,0.15,0.15,0.1,0.14
20130701:2207,0.244,0.15,0.15,0.1,0.14
20130701:2307,0.166,0.15,0.15,0.1,0.14
20130702:0007,0.089,0.15,0.15,0.1,0.14
20130702:0107,0.077,0.15,0.15,0.1,0.14
20130702:0207,0.077,0.15,0.15,0.1,0.14
20130702:0307,0.077,0.15,0.15,0.1,0.29
20130702:0407,0.265,0.15,0.15,0.85,0.43
20130702:0507,0.406,0.15,0.15,0.85,0.57
20130702:0607,0.447,0.15,0.46,0.5,0.71
20130702:0707,0.406,0.3,0.92,0.1,0.86
20130702:0807,0.341,0.3,0.92,0.1,1
20130702:0907,0.349,0.3,1,0.1,1
20130702:1007,0.402,0.3,1,0.1,1
20130702:1107,0.433,0.3,1,1,0.86
20130702:1207,0.561,0.3,1,1,0.71
20130702:1307,0.422,0.3,1,1,0.71
20130702:1407,0.34,0.3,1,0.5,0.86
20130702:1507,0.322,0.3,1,1,0.86
20130702:1607,0.332,0.3,0.85,1,1
20130702:1707,0.535,0.15,0.31,0.5,1
20130702:1807,1,0.15,0.15,1,0.71
20130702:1907,0.815,0.15,0.15,1,0.57
20130702:2007,0.549,0.15,0.15,0.1,0.29
20130702:2107,0.39,0.15,0.15,0.1,0.14
20130702:2207,0.244,0.15,0.15,0.1,0.14
20130702:2307,0.166,0.15,0.15,0.1,0.14
20130703:0007,0.089,0.15,0.15,0.1,0.14
20130703:0107,0.077,0.15,0.15,0.1,0.14
20130703:0207,0.077,0.15,0.15,0.1,0.14
20130703:0307,0.077,0.15,0.15,0.1,0.29
20130703:0407,0.265,0.15,0.15,0.85,0.43
20130703:0507,0.406,0.15,0.15,0.85,0.57
20130703:0607,0.447,0.15,0.46,0.5,0.71
20130703:0707,0.406,0.3,0.92,0.1,0.86
20130703:0807,0.341,0.3,0.92,0.1,1
20130703:0907,0.349,0.3,1,0.1,1
20130703:1007,0.402,0.3,1,0.1,1
20130703:1107,0.433,0.3,1,1,0.86
20130703:1207,0.561,0.3,1,1,0.71
20130703:1307,0.422,0.3,1,1,0.71
20130703:1407,0.34,0.3,1,0.5,0.86
20130703:1507,0.322,0.3,1,1,0.86
20130703:1607,0.332,0.3,0.85,1,1
20130703:1707,0.535,0.15,0.31,0.5,1
20130703:1807,1,0.15,0.15,1,0.71
20130703:1907,0.815,0.15,0.15,1,0.57
20130703:2007,0.549,0.15,0.15,0.1,0.29
20130703:2107,0.39,0.15,0.15,0.1,0.14
20130703:2207,0.244,0.15,0.15,0.1,0.14
20130703:2307,0.166,0.15,0.15,0.1,0.14
20130704:0007,0.089,0.15,0.15,0.1,0.14
20130704:0107,0.077,0.15,0.15,0.1,0.14
20130704:0207,0.077,0.15,0.15,0.1,0.14
20130704:0307,0.077,0.15,0.15,0.1,0.29
20130704:0407,0.265,0.15,0.15,0.85,0.43
20130704:0507,0.406,0.15,0.15,0.85,0.57
20130704:0607,0.447,0.15,0.46,0.5,0.71
20130704:0707,0.406,0.3,0.92,0.1,0.86
20130704:0807,0.341,0.3,0.92,0.1,1
20130704:0907,0.349,0.3,1,0.1,1
20130704:1007,0.402,0.3,1,0.1,1
20130704:1107,0.433,0.3,1,1,0.86
20130704:1207,0.561,0.3,1,1,0.71
20130704:1307,0.422,0.3,1,1,0.71
20130704:1407,0.34,0.3,1,0.5,0.86
20130704:1507,0.322,0.3,1,1,0.86
20130704:1607,0.332,0.3,0.85,1,1
20130704:1707,0.535,0.15,0.31,0.5,1
20130704:1807,1,0.15,0.15,1,0.71
20130704:1907,0.815,0.15,0.15,1,0.57
20130704:2007,0.549,0.15,0.15,0.1,0.29
20130704:2107,0.39,0.15,0.15,0.1,0.14
20130704:2207,0.244,0.15,0.15,0.1,0.14
20130704:2307,0.166,0.15,0.15,0.1,0.14
20130705:0007,0.089,0.15,0.15,0.1,0.14
20130705:0107,0.077,0.15,0.15,0.1,0.14
20130705:0207,0.077,0.15,0.15,0.1,0.14
20130705:0307,0.077,0.15,0.15,0.1,0.29
20130705:0407,0.265,0.15,0.15,0.85,0.43
20130705:0507,0.406,0.15,0.15,0.85,0.57
20130705:0607,0.447,0.15,0.46,0.5,0.71
20130705:0707,0.406,0.3,0.92,0.1,0.86
20130705:0807,0.341,0.3,0.92,0.1,1
20130705:0907,0.349,0.3,1,0.1,1
20130705:1007,0.402,0.3,1,0.1,1
20130705:1107,0.433,0.3,1,1,0.86
20130705:1207,0.561,0.3,1,1,0.71
20130705:1307,0.422,0.3,1,1,0.71
20130705:1407,0.34,0.3,1,0.5,0.86
20130705:1507,0.322,0.3,1,1,0.86
20130705:1607,0.332,0.3,0.85,1,1
20130705:1707,0.535,0.15,0.31,0.5,1
20130705:1807,1,0.15,0.15,1,0.71
20130705:1907,0.815,0.15,0.15,1,0.57
20130705:2007,0.549,0.15,0.15,0.1,0.29
20130705:2107,0.39,0.15,0.15,0.1,0.14
20130705:2207,0.244,0.15,0.15,0.1,0.14
20130705:2307,0.166,0.15,0.15,0.1,0.14
20130706:0007,0.089,0.15,0.15,0.1,0.14
20130706:0107,0.077,0.15,0.15,0.1,0.14
20130706:0207,0.077,0.15,0.15,0.1,0.14
20130706:0307,0.077,0.15,0.15,0.1,0.29
20130706:0407,0.265,0.15,0.15,0.85,0.43
20130706:0507,0.406,0.15,0.15,0.85,0.57
20130706:0607,0.447,0.15,0.46,0.5,0.71
20130706:0707,0.406,0.3,0.92,0.1,0.86
20130706:0807,0.341,0.3,0.92,0.1,1
20130706:0907,0.349,0.3,1,0.1,1
20130706:1007,0.402,0.3,1,0.1,1
20130706:1107,0.433,0.3,1,1,0.86
20130706:1207,0.561,0.3,1,1,0.71
20130706:1307,0.422,0.3,1,1,0.71
20130706:1407,0.34,0.3,1,0.5,0.86
20130706:1507,0.322,0.3,1,1,0.86
20130706:1607,0.332,0.3,0.85,1,1
20130706:1707,0.535,0.15,0.31,0.5,1
20130706:1807,1,0.15,0.15,1,0.71
20130706:1907,0.815,0.15,0.15,1,0.57
20130706:2007,0.549,0.15,0.15,0.1,0.29
20130706:2107,0.39,0.15,0.15,0.1,0.14
20130706:2207,0.244,0.15,0.15,0.1,0.14
20130706:2307,0.166,0.15,0.15,0.1,0.14
20130707:0007,0.089,0.15,0.15,0.1,0.14
20130707:0107,0.077,0.15,0.15,0.1,0.14
20130707:0207,0.077,0.15,0.15,0.1,0.14
20130707:0307,0.077,0.15,0.15,0.1,0.29
20130707:0407,0.265,0.15,0.15,0.85,0.43
20130707:0507,0.406,0.15,0.15,0.85,0.57
20130707:0607,0.447,0.15,0.46,0.5,0.71
20130707:0707,0.406,0.3,0.92,0.1,0.86
20130707:0807,0.341,0.3,0.92,0.1,1
20130707:0907,0.349,0.3,1,0.1,1
20130707:1007,0.402,0.3,1,0.1,1
20130707:1107,0.433,0.3,1,1,0.86
20130707:1207,0.561,0.3,1,1,0.71
20130707:1307,0.422,0.3,1,1,0.71
20130707:1407,0.34,0.3,1,0.5,0.86
20130707:1507,0.322,0.3,1,1,0.86
20130707:1607,0.332,0.3,0.85,1,1
20130707:1707,0.535,0.15,0.31,0.5,1
20130707:1807,1,0.15,0.15,1,0.71
20130707:1907,0.815,0.15,0.15,1,0.57
20130707:2007,0.549,0.15,0.15,0.1,0.29
20130707:2107,0.39,0.15,0.15,0.1,0.14
20130707:2207,0.244,0.15,0.15,0.1,0.14
20130707:2307,0.166,0.15,0.15,0.1,0.14
20130708:0007,0.089,0.15,0.15,0.1,0.14
20130708:0107,0.077,0.15,0.15,0.1,0.14
20130708:0207,0.077,0.15,0.15,0.1,0.14
20130708:0307,0.077,0.15,0.15,0.1,0.29
20130708:0407,0.265,0.15,0.15,0.85,0.43
20130708:0507,0.406,0.15,0.15,0.85,0.57
20130708:0607,0.447,0.15,0.46,0.5,0.71
20130708:0707,0.406,0.3,0.92,0.1,0.86
20130708:0807,0.341,0.3,0.92,0.1,1
20130708:0907,0.349,0.3,1,0.1,1
20130708:1007,0.402,0.3,1,0.1,1
20130708:1107,0.433,0.3,1,1,0.86
20130708:1207,0.561,0.3,1,1,0.71
20130708:1307,0.422,0.3,1,1,0.71
20130708:1407,0.34,0.3,1,0.5,0.86
20130708:1507,0.322,0.3,1,1,0.86
20130708:1607,0.332,0.3,0.85,1,1
20130708:1707,0.535,0.15,0.31,0.5,1
20130708:1807,1,0.15,0.15,1,0.71
20130708:1907,0.815,0.15,0.15,1,0.57
20130708:2007,0.549,0.15,0.15,0.1,0.29
20130708:2107,0.39,0.15,0.15,0.1,0.14
20130708:2207,0.244,0.15,0.15,0.1,0.14
20130708:2307,0.166,0.15,0.15,0.1,0.14
20130709:0007,0.089,0.15,0.15,0.1,0.14
20130709:0107,0.077,0.15,0.15,0.1,0.14
20130709:0207,0.077,0.15,0.15,0.1,0.14
20130709:0307,0.077,0.15,0.15,0.1,0.29
20130709:0407,0.265,0.15,0.15,0.85,0.43
20130709:0507,0.406,0.15,0.15,0.85,0.57
20130709:0607,0.447,0.15,0.46,0.5,0.71
20130709:0707,0.406,0.3,0.92,0.1,0.86
20130709:0807,0.341,0.3,0.92,0.1,1
20130709:0907,0.349,0.3,1,0.1,1
20130709:1007,0.402,0.3,1,0.1,1
20130709:1107,0.433,0.3,1,1,0.86
20130709:1207,0.561,0.3,1,1,0.71
20130709:1307,0.422,0.3,1,1,0.71
20130709:1407,0.34,0.3,1,0.5,0.86
20130709:1507,0.322,0.3,1,1,0.86
20130709:1607,0.332,0.3,0.85,1,1
20130709:1707,0.535,0.15,0.31,0.5,1
20130709:1807,1,0.15,0.15,1,0.71
20130709:1907,0.815,0.15,0.15,1,0.57
20130709:2007,0.549,0.15,0.15,0.1,0.29
20130709:2107,0.39,0.15,0.15,0.1,0.14
20130709:2207,0.244,0.15,0.15,0.1,0.14
20130709:2307,0.166,0.15,0.15,0.1,0.14
20130710:0007,0.089,0.15,0.15,0.1,0.14
20130710:0107,0.077,0.15,0.15,0.1,0.14
20130710:0207,0.077,0.15,0.15,0.1,0.14
20130710:0307,0.077,0.15,0.15,0.1,0.29
20130710:0407,0.265,0.15,0.15,0.85,0.43
20130710:0507,0.406,0.15,0.15,0.85,0.57
20130710:0607,0.447,0.15,0.46,0.5,0.71
20130710:0707,0.406,0.3,0.92,0.1,0.86
20130710:0807,0.341,0.3,0.92,0.1,1
20130710:0907,0.349,0.3,1,0.1,1
20130710:1007,0.402,0.3,1,0.1,1
20130710:1107,0.433,0.3,1,1,0.86
20130710:1207,0.561,0.3,1,1,0.71
20130710:1307,0.422,0.3,1,1,0.71
20130710:1407,0.34,0.3,1,0.5,0.86
20130710:1507,0.322,0.3,1,1,0.86
20130710:1607,0.332,0.3,0.85,1,1
20130710:1707,0.535,0.15,0.31,0.5,1
20130710:1807,1,0.15,0.15,1,0.71
20130710:1907,0.815,0.15,0.15,1,0.57
20130710:2007,0.549,0.15,0.15,0.1,0.29
20130710:2107,0.39,0.15,0.15,0.1,0.14
20130710:2207,0.244,0.15,0.15,0.1,0.14
20130710:2307,0.166,0.15,0.15,0.1,0.14
20130711:0007,0.089,0.15,0.15,0.1,0.14
20130711:0107,0.077,0.15,0.15,0.1,0.14
20130711:0207,0.077,0.15,0.15,0.1,0.14
20130711:0307,0.077,0.15,0.15,0.1,0.29
20130711:0407,0.265,0.15,0.15,0.85,0.43
20130711:0507,0.406,0.15,0.15,0.85,0.57
20130711:0607,0.447,0.15,0.46,0.5,0.71
20130711:0707,0.406,0.3,0.92,0.1,0.86
20130711:0807,0.341,0.3,0.92,0.1,1
20130711:0907,0.349,0.3,1,0.1,1
20130711:1007,0.402,0.3,1,0.1,1
20130711:1107,0.433,0.3,1,1,0.86
20130711:1207,0.561,0.3,1,1,0.71
20130711:1307,0.422,0.3,1,1,0.71
20130711:1407,0.34,0.3,1,0.5,0.86
20130711:1507,0.322,0.3,1,1,0.86
20130711:1607,0.332,0.3,0.85,1,1
20130711:1707,0.535,0.15,0.31,0.5,1
20130711:1807,1,0.15,0.15,1,0.71
20130711:1907,0.815,0.15,0.15,1,0.57
20130711:2007,0.549,0.15,0.15,0.1,0.29
20130711:2107,0.39,0.15,0.15,0.1,0.14
20130711:2207,0.244,0.15,0.15,0.1,0.14
20130711:2307,0.166,0.15,0.15,0.1,0.14
20130712:0007,0.089,0.15,0.15,0.1,0.14
20130712:0107,0.077,0.15,0.15,0.1,0.14
20130712:0207,0.077,0.15,0.15,0.1,0.14
20130712:0307,0.077,0.15,0.15,0.1,0.29
20130712:0407,0.265,0.15,0.15,0.85,0.43
20130712:0507,0.406,0.15,0.15,0.85,0.57
20130712:0607,0.447,0.15,0.46,0.5,0.71
20130712:0707,0.406,0.3,0.92,0.1,0.86
20130712:0807,0.341,0.3,0.92,0.1,1
20130712:0907,0.349,0.3,1,0.1,1
20130712:1007,0.402,0.3,1,0.1,1
20130712:1107,0.433,0.3,1,1,0.86
20130712:1207,0.561,0.3,1,1,0.71
20130712:1307,0.422,0.3,1,1,0.71
20130712:1407,0.34,0.3,1,0.5,0.86
20130712:1507,0.322,0.3,1,1,0.86
20130712:1607,0.332,0.3,0.85,1,1
20130712:1707,0.535,0.15,0.31,0.5,1
20130712:1807,1,0.15,0.15,1,0.71
20130712:1907,0.815,0.15,0.15,1,0.57
20130712:2007,0.549,0.15,0.15,0.1,0.29
20130712:2107,0.39,0.15,0.15,0.1,0.14
20130712:2207,0.244,0.15,0.15,0.1,0.14
20130712:2307,0.166,0.15,0.15,0.1,0.14
20130713:0007,0.089,0.15,0.15,0.1,0.14
20130713:0107,0.077,0.15,0.15,0.1,0.14
20130713:0207,0.077,0.15,0.15,0.1,0.14
20130713:0307,0.077,0.15,0.15,0.1,0.29
20130713:0407,0.265,0.15,0.15,0.85,0.43
20130713:0507,0.406,0.15,0.15,0.85,0.57
20130713:0607,0.447,0.15,0.46,0.5,0.71
20130713:0707,0.406,0.3,0.92,0.1,0.86
20130713:0807,0.341,0.3,0.92,0.1,1
20130713:0907,0.349,0.3,1,0.1,1
20130713:1007,0.402,0.3,1,0.1,1
20130713:1107,0.433,0.3,1,1,0.86
20130713:1207,0.561,0.3,1,1,0.71
20130713:1307,0.422,0.3,1,1,0.71
20130713:1407,0.34,0.3,1,0.5,0.86
20130713:1507,0.322,0.3,1,1,0.86
20130713:1607,0.332,0.3,0.85,1,1
20130713:1707,0.535,0.15,0.31,0.5,1
20130713:1807,1,0.15,0.15,1,0.71
20130713:1907,0.815,0.15,0.15,1,0.57
20130713:2007,0.549,0.15,0.15,0.1,0.29
20130713:2107,0.39,0.15,0.15,0.1,0.14
20130713:2207,0.244,0.15,0.15,0.1,0.14
20130713:2307,0.166,0.15,0.15,0.1,0.14
20130714:0007,0.089,0.15,0.15,0.1,0.14
20130714:0107,0.077,0.15,0.15,0.1,0.14
20130714:0207,0.077,0.15,0.15,0.1,0.14
20130714:0307,0.077,0.15,0.15,0.1,0.29
20130714:0407,0.265,0.15,0.15,0.85,0.43
20130714:0507,0.406,0.15,0.15,0.85,0.57
20130714:0607,0.447,0.15,0.46,0.5,0.71
20130714:0707,0.406,0.3,0.92,0.1,0.86
20130714:0807,0.341,0.3,0.92,0.1,1
20130714:0907,0.349,0.3,1,0.1,1
20130714:1007,0.402,0.3,1,0.1,1
20130714:1107,0.433,0.3,1,1,0.86
20130714:1207,0.561,0.3,1,1,0.71
20130714:1307,0.422,0.3,1,1,0.71
20130714:1407,0.34,0.3,1,0.5,0.86
20130714:1507,0.322,0.3,1,1,0.86
20130714:1607,0.332,0.3,0.85,1,1
20130714:1707,0.535,0.15,0.31,0.5,1
20130714:1807,1,0.15,0.15,1,0.71
20130714:1907,0.815,0.15,0.15,1,0.57
20130714:2007,0.549,0.15,0.15,0.1,0.29
20130714:2107,0.39,0.15,0.15,0.1,0.14
20130714:2207,0.244,0.15,0.15,0.1,0.14
20130714:2307,0.166,0.15,0.15,0.1,0.14
20130715:0007,0.089,0.15,0.15,0.1,0.14
20130715:0107,0.077,0.15,0.15,0.1,0.14
20130715:0207,0.077,0.15,0.15,0.1,0.14
20130715:0307,0.077,0.15,0.15,0.1,0.29
20130715:0407,0.265,0.15,0.15,0.85,0.43
20130715:0507,0.406,0.15,0.15,0.85,0.57
20130715:0607,0.447,0.15,0.46,0.5,0.71
20130715:0707,0.406,0.3,0.92,0.1,0.86
20130715:0807,0.341,0.3,0.92,0.1,1
20130715:0907,0.349,0.3,1,0.1,1
20130715:1007,0.402,0.3,1,0.1,1
20130715:1107,0.433,0.3,1,1,0.86
20130715:1207,0.561,0.3,1,1,0.71
20130715:1307,0.422,0.3,1,1,0.71
20130715:1407,0.34,0.3,1,0.5,0.86
20130715:1507,0.322,0.3,1,1,0.86
20130715:1607,0.332,0.3,0.85,1,1
20130715:1707,0.535,0.15,0.31,0.5,1
20130715:1807,1,0.15,0.15,1,0.71
20130715:1907,0.815,0.15,0.15,1,0.57
20130715:2007,0.549,0.15,0.15,0.1,0.29
20130715:2107,0.39,0.15,0.15,0.1,0.14
20130715:2207,0.244,0.15,0.15,0.1,0.14
20130715:2307,0.166,0.15,0.15,0.1,0.14
20130716:0007,0.089,0.15,0.15,0.1,0.14
20130716:0107,0.077,0.15,0.15,0.1,0.14
20130716:0207,0.077,0.15,0.15,0.1,0.14
20130716:0307,0.077,0.15,0.15,0.1,0.29
20130716:0407,0.265,0.15,0.15,0.85,0.43
20130716:0507,0.406,0.15,0.15,0.85,0.57
20130716:0607,0.447,0.15,0.46,0.5,0.71
20130716:0707,0.406,0.3,0.92,0.1,0.86
20130716:0807,0.341,0.3,0.92,0.1,1
20130716:0907,0.349,0.3,1,0.1,1
20130716:1007,0.402,0.3,1,0.1,1
20130716:1107,0.433,0.3,1,1,0.86
20130716:1207,0.561,0.3,1,1,0.71
20130716:1307,0.422,0.3,1,1,0.71
20130716:1407,0.34,0.3,1,0.5,0.86
20130716:1507,0.322,0.3,1,1,0.86
20130716:1607,0.332,0.3,0.85,1,1
20130716:1707,0.535,0.15,0.31,0.5,1
20130716:1807,1,0.15,0.15,1,0.71
20130716:1907,0.815,0.15,0.15,1,0.57
20130716:2007,0.549,0.15,0.15,0.1,0.29
20130716:2107,0.39,0.15,0.15,0.1,0.14
20130716:2207,0.244,0.15,0.15,0.1,0.14
20130716:2307,0.166,0.15,0.15,0.1,0.14
20130717:0007,0.089,0.15,0.15,0.1,0.14
20130717:0107,0.077,0.15,0.15,0.1,0.14
20130717:0207,0.077,0.15,0.15,0.1,0.14
20130717:0307,0.077,0.15,0.15,0.1,0.29
20130717:0407,0.265,0.15,0.15,0.85,0.43
20130717:0507,0.406,0.15,0.15,0.85,0.57
20130717:0607,0.447,0.15,0.46,0.5,0.71
20130717:0707,0.406,0.3,0.92,0.1,0.86
20130717:0807,0.341,0.3,0.92,0.1,1
20130717:0907,0.349,0.3,1,0.1,1
20130717:1007,0.402,0.3,1,0.1,1
20130717:1107,0.433,0.3,1,1,0.86
20130717:1207,0.561,0.3,1,1,0.71
20130717:1307,0.422,0.3,1,1,0.71
20130717:1407,0.34,0.3,1,0.5,0.86
20130717:1507,0.322,0.3,1,1,0.86
20130717:1607,0.332,0.3,0.85,1,1
20130717:1707,0.535,0.15,0.31,0.5,1
20130717:1807,1,0.15,0.15,1,0.71
20130717:1907,0.815,0.15,0.15,1,0.57
20130717:2007,0.549,0.15,0.15,0.1,0.29
20130717:2107,0.39,0.15,0.15,0.1,0.14
20130717:2207,0.244,0.15,0.15,0.1,0.14
20130717:2307,0.166,0.15,0.15,0.1,0.14
20130718:0007,0.089,0.15,0.15,0.1,0.14
20130718:0107,0.077,0.15,0.15,0.1,0.14
20130718:0207,0.077,0.15,0.15,0.1,0.14
20130718:0307,0.077,0.15,0.15,0.1,0.29
20130718:0407,0.265,0.15,0.15,0.85,0.43
20130718:0507,0.406,0.15,0.15,0.85,0.57
20130718:0607,0.447,0.15,0.46,0.5,0.71
20130718:0707,0.406,0.3,0.92,0.1,0.86
20130718:0807,0.341,0.3,0.92,0.1,1
20130718:0907,0.349,0.3,1,0.1,1
20130718:1007,0.402,0.3,1,0.1,1
20130718:1107,0.433,0.3,1,1,0.86
20130718:1207,0.561,0.3,1,1,0.71
20130718:1307,0.422,0.3,1,1,0.71
20130718:1407,0.34,0.3,1,0.5,0.86
20130718:1507,0.322,0.3,1,1,0.86
20130718:1607,0.332,0.3,0.85,1,1
20130718:1707,0.535,0.15,0.31,0.5,1
20130718:1807,1,0.15,0.15,1,0.71
20130718:1907,0.815,0.15,0.15,1,0.57
20130718:2007,0.549,0.15,0.15,0.1,0.29
20130718:2107,0.39,0.15,0.15,0.1,0.14
20130718:2207,0.244,0.15,0.15,0.1,0.14
20130718:2307,0.166,0.15,0.15,0.1,0.14
20130719:0007,0.089,0.15,0.15,0.1,0.14
20130719:0107,0.077,0.15,0.15,0.1,0.14
20130719:0207,0.077,0.15,0.15,0.1,0.14
20130719:0307,0.077,0.15,0.15,0.1,0.29
20130719:0407,0.265,0.15,0.15,0.85,0.43
20130719:0507,0.406,0.15,0.15,0.85,0.57
20130719:0607,0.447,0.15,0.46,0.5,0.71
20130719:0707,0.406,0.3,0.92,0.1,0.86
20130719:0807,0.341,0.3,0.92,0.1,1
20130719:0907,0.349,0.3,1,0.1,1
20130719:1007,0.402,0.3,1,0.1,1
20130719:1107,0.433,0.3,1,1,0.86
20130719:1207,0.561,0.3,1,1,0.71
20130719:1307,0.422,0.3,1,1,0.71
20130719:1407,0.34,0.3,1,0.5,0.86
20130719:1507,0.322,0.3,1,1,0.86
20130719:1607,0.332,0.3,0.85,1,1
20130719:1707,0.535,0.15,0.31,0.5,1
20130719:1807,1,0.15,0.15,1,0.71
20130719:1907,0.815,0.15,0.15,1,0.57
20130719:2007,0.549,0.15,0.15,0.1,0.29
20130719:2107,0.39,0.15,0.15,0.1,0.14
20130719:2207,0.244,0.15,0.15,0.1,0.14
20130719:2307,0.166,0.15,0.15,0.1,0.14
20130720:0007,0.089,0.15,0.15,0.1,0.14
20130720:0107,0.077,0.15,0.15,0.1,0.14
20130720:0207,0.077,0.15,0.15,0.1,0.14
20130720:0307,0.077,0.15,0.15,0.1,0.29
20130720:0407,0.265,0.15,0.15,0.85,0.43
20130720:0507,0.406,0.15,0.15,0.85,0.57
20130720:0607,0.447,0.15,0.46,0.5,0.71
20130720:0707,0.406,0.3,0.92,0.1,0.86
20130720:0807,0.341,0.3,0.92,0.1,1
20130720:0907,0.349,0.3,1,0.1,1
20130720:1007,0.402,0.3,1,0.1,1
20130720:1107,0.433,0.3,1,1,0.86
20130720:1207,0.561,0.3,1,1,0.71
20130720:1307,0.422,0.3,1,1,0.71
20130720:1407,0.34,0.3,1,0.5,0.86
20130720:1507,0.322,0.3,1,1,0.86
20130720:1607,0.332,0.3,0.85,1,1
20130720:1707,0.535,0.15,0.31,0.5,1
20130720:1807,1,0.15,0.15,1,0.71
20130720:1907,0.815,0.15,0.15,1,0.57
20130720:2007,0.549,0.15,0.15,0.1,0.29
20130720:2107,0.39,0.15,0.15,0.1,0.14
20130720:2207,0.244,0.15,0.15,0.1,0.14
20130720:2307,0.166,0.15,0.15,0.1,0.14
20130721:0007,0.089,0.15,0.15,0.1,0.14
20130721:0107,0.077,0.15,0.15,0.1,0.14
20130721:0207,0.077,0.15,0.15,0.1,0.14
20130721:0307,0.077,0.15,0.15,0.1,0.29
20130721:0407,0.265,0.15,0.15,0.85,0.43
20130721:0507,0.406,0.15,0.15,0.85,0.57
20130721:0607,0.447,0.15,0.46,0.5,0.71
20130721:0707,0.406,0.3,0.92,0.1,0.86
20130721:0807,0.341,0.3,0.92,0.1,1
20130721:0907,0.349,0.3,1,0.1,1
20130721:1007,0.402,0.3,1,0.1,1
20130721:1107,0.433,0.3,1,1,0.86
20130721:1207,0.561,0.3,1,1,0.71
20130721:1307,0.422,0.3,1,1,0.71
20130721:1407,0.34,0.3,1,0.5,0.86
20130721:1507,0.322,0.3,1,1,0.86
20130721:1607,0.332,0.3,0.85,1,1
20130721:1707,0.535,0.15,0.31,0.5,1
20130721:1807,1,0.15,0.15,1,0.71
20130721:1907,0.815,0.15,0.15,1,0.57
20130721:2007,0.549,0.15,0.15,0.1,0.29
20130721:2107,0.39,0.15,0.15,0.1,0.14
20130721:2207,0.244,0.15,0.15,0.1,0.14
20130721:2307,0.166,0.15,0.15,0.1,0.14
20130722:0007,0.089,0.15,0.15,0.1,0.14
20130722:0107,0.077,0.15,0.15,0.1,0.14
20130722:0207,0.077,0.15,0.15,0.1,0.14
20130722:0307,0.077,0.15,0.15,0.1,0.29
20130722:0407,0.265,0.15,0.15,0.85,0.43
20130722:0507,0.406,0.15,0.15,0.85,0.57
20130722:0607,0.447,0.15,0.46,0.5,0.71
20130722:0707,0.406,0.3,0.92,0.1,0.86
20130722:0807,0.341,0.3,0.92,0.1,1
20130722:0907,0.349,0.3,1,0.1,1
20130722:1007,0.402,0.3,1,0.1,1
20130722:1107,0.433,0.3,1,1,0.86
20130722:1207,0.561,0.3,1,1,0.71
20130722:1307,0.422,0.3,1,1,0.71
20130722:1407,0.34,0.3,1,0.5,0.86
20130722:1507,0.322,0.3,1,1,0.86
20130722:1607,0.332,0.3,0.85,1,1
20130722:1707,0.535,0.15,0.31,0.5,1
20130722:1807,1,0.15,0.15,1,0.71
20130722:1907,0.815,0.15,0.15,1,0.57
